,room_id,unit_type_name,property_design,property_type,area_id,number_of_bookings,bedroom,bathroom,beds,capacity,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,lat,lng,distance_to_coastline,property_bedrooms,average_baseline_price
1,378260.0,Downstairs Room 2A,0.0,4.0,A0043,54,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,375783.2774537036
2,378261.0,Entire,0.0,1.0,A0001,12,3.0,2.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,-7.8317661,110.3806358,2259.288483838384,3.0,994590.5536805555
3,378266.0,Upstairs Room 3B,0.0,4.0,A0043,87,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,342269.6909770114
4,378267.0,Upstairs Room 3A,0.0,4.0,A0043,49,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,404418.7471550048
5,378267.0,Upstairs Room 3A,0.0,4.0,A0043,49,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,404418.7471550048
6,378268.0,Downstairs Room 2B,0.0,4.0,A0043,57,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,383891.6361988304
7,378269.0,Upstairs Room 3A,0.0,4.0,A0043,4,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,650873.75
8,378269.0,Upstairs Room 3A,0.0,4.0,A0043,4,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,650873.75
9,381223.0,Apartment Merapi View,4.0,3.0,A0001,10,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-7.7584523,110.3804561,2259.288483838384,5.0,589353.6925357142
11,381228.0,Entire,4.0,1.0,A0038,20,3.0,3.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-7.7287222,110.3845639,2259.288483838384,3.0,3042383.260583333
12,381229.0,Upstairs Room 3B,0.0,4.0,A0043,4,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,1250221.37
14,387364.0,Entire,4.0,4.0,A0047,48,2.0,2.0,2.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-7.770902,110.4285759,2259.288483838384,2.0,1058097.770520833
27,391676.0,Bungalow,2.0,4.0,A0020,8,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.675,115.5445613,2259.288483838384,5.0,340512.095
30,391680.0,Room,1.0,4.0,A0020,346,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-8.675762,115.56743,121.038,5.0,330666.71176396904
39,393186.0,Studio,3.0,4.0,A0020,170,2.0,1.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-8.688048,115.579662,45.9017,3.0,398570.20197254897
40,393187.0,Bungalow,2.0,4.0,A0020,103,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-8.675,115.5445613,2259.288483838384,5.0,630112.2369255663
41,393188.0,Room,1.0,4.0,A0020,80,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.675762,115.56743,121.038,5.0,1441124.34546875
45,393193.0,Room,1.0,4.0,A0020,200,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-8.688812,115.488442,596.384,4.0,253792.6261533333
46,393194.0,Bungalow (Allocation),3.0,4.0,A0020,266,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-8.67666,115.514889,26.7774,4.0,710701.6101267454
47,393195.0,Room,1.0,4.0,A0020,51,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.6768119,115.566473,2259.288483838384,5.0,308858.7075816993
48,393196.0,Bungalow,3.0,4.0,A0020,237,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-8.6965183,115.5792547,2259.288483838384,3.0,433400.2814935626
50,393198.0,Bungalow Double,1.0,4.0,A0020,161,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6788807,115.4900163,2259.288483838384,8.0,349953.8420548654
51,393201.0,Bungalow Twin,1.0,4.0,A0020,87,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6788807,115.4900163,2259.288483838384,8.0,316348.69917624514
52,393202.0,Bungalow Double,1.0,4.0,A0020,8,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6788807,115.4900163,2259.288483838384,8.0,890172.625
53,393203.0,Standard Double,1.0,4.0,A0020,93,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6788807,115.4900163,2259.288483838384,8.0,294266.7578494623
54,393204.0,Standard Twin,1.0,4.0,A0020,73,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6788807,115.4900163,2259.288483838384,8.0,320368.30176255706
55,393205.0,Bungalow Double,1.0,4.0,A0020,79,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6788807,115.4900163,2259.288483838384,8.0,526531.4810126582
56,393206.0,Bungalow Double,1.0,4.0,A0020,57,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6788807,115.4900163,2259.288483838384,8.0,843433.9060087719
57,393207.0,Standard Double,1.0,4.0,A0020,236,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-8.709399,115.586846,65.8603,4.0,308945.0738347457
58,393208.0,Standard Twin,1.0,4.0,A0020,192,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.709399,115.586846,65.8603,4.0,1316866.7343402775
59,393209.0,Superior Double,1.0,4.0,A0020,207,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-8.709399,115.586846,65.8603,4.0,337537.7606418219
60,393264.0,Standard Twin,1.0,4.0,A0020,3,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.709399,115.586846,65.8603,4.0,289232.952222222
61,393265.0,Superior Twin,1.0,4.0,A0020,1,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-8.709399,115.586846,65.8603,4.0,290058.5
62,394908.0,Standard,0.0,4.0,A0008,338,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.805646,115.113378,15.6035,7.0,762403.5755068928
66,394913.0,Downstairs Non Hot Water,0.0,4.0,A0008,278,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.8063269,115.11306,48.2584,13.0,1274882.4974591583
67,394914.0,Upstairs Hot Water,0.0,4.0,A0008,315,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.8063269,115.11306,48.2584,13.0,1325330.5681550424
68,394915.0,Downstairs Hot Water,0.0,4.0,A0008,10,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.8063269,115.11306,48.2584,13.0,1611156.9466666663
71,395715.0,Room,1.0,4.0,A0020,286,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.688812,115.488442,596.384,4.0,713838.1671070595
72,395971.0,Bingin Ombak Apartment - 1 Lantai 1,0.0,4.0,A0008,32,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.805646,115.113378,15.6035,7.0,1082806.3164583333
75,395989.0,Villa Arindra,0.0,4.0,A0010,259,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-8.797821,115.149441,1935.58,4.0,449585.0246904928
76,395990.0,Entire,4.0,2.0,A0011,147,2.0,3.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,-8.837896,115.151689,1033.16,2.0,1511993.339735799
77,395992.0,Room,1.0,2.0,A0008,260,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-8.805481,115.11358,12.9244,1.0,993361.6022406592
78,396232.0,Deluxe Double,0.0,4.0,A0002,2,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-8.822391,115.0871096,2259.288483838384,22.0,1146922.106666666
81,396428.0,Standard,1.0,4.0,A0002,6,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.835812,115.118645,1133.15,6.0,2900595.246666666
83,396431.0,Entire,4.0,2.0,A0011,56,5.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-8.824442,115.163821,2653.12,5.0,2047675.264663309
84,396432.0,3BR Villa 3A,4.0,2.0,A0011,92,3.0,5.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-8.807392,115.157375,2755.41,3.0,1335800.609523033
85,396433.0,Standard Twin,0.0,4.0,A0002,75,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.822391,115.0871096,2259.288483838384,22.0,427414.74546582
89,396440.0,5BR Villa,4.0,2.0,A0010,186,5.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-8.803833,115.1450882,2201.29,10.0,1693762.50965873
90,396441.0,5BR Villa,4.0,2.0,A0010,44,5.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-8.803833,115.1450882,2201.29,10.0,3503368.58939394
91,396442.0,Blu Apsara,4.0,2.0,A0011,58,3.0,5.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-8.830237,115.167079,2041.98,3.0,1725334.964849721
93,396445.0,Entire House 4BR,4.0,2.0,A0011,97,4.0,5.0,4.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-8.810648,115.156482,3125.52,4.0,2932103.255860334
95,396658.0,Bingin Ombak Apartment - 2 Lantai 2,0.0,4.0,A0008,46,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.805646,115.113378,15.6035,7.0,1283523.0629001977
96,397165.0,Downstairs Hot Water,0.0,4.0,A0008,20,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.8063269,115.11306,48.2584,13.0,1937579.0989285712
99,397667.0,Asri Village,3.0,4.0,A0002,632,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-8.835766,115.123054,1163.26,6.0,635751.257197236
100,397668.0,Wooden,1.0,4.0,A0002,187,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.835812,115.118645,1133.15,6.0,474170.2392170867
103,397671.0,Despacito Loft & Lounge - 5,3.0,4.0,A0013,147,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-8.81394,115.1096954,616.825,6.0,1254885.8059773245
104,397672.0,Despacito Loft & Lounge - 4,3.0,4.0,A0013,140,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-8.81394,115.1096954,616.825,6.0,1074892.0056167748
105,397673.0,Despacito Loft & Lounge - 3,3.0,4.0,A0013,160,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-8.81394,115.1096954,616.825,6.0,1072624.6954441962
106,397674.0,Downstairs/Upstairs,1.0,4.0,A0003,532,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-8.650003,115.133906,1055.57,7.0,318588.9078404388
107,397675.0,Standard,1.0,4.0,A0002,396,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.836065,115.11936,1098.55,2.0,510951.88016170304
109,397677.0,Kencana Homestay,1.0,4.0,A0003,280,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-8.649104,115.13234,1030.11,7.0,402296.501577549
111,397679.0,Double,1.0,4.0,A0003,363,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-8.652609,115.13751,1093.22,10.0,447159.0506768007
112,397680.0,Twin,1.0,4.0,A0003,107,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-8.652609,115.13751,1093.22,10.0,407041.8981807231
113,397682.0,Standard,1.0,4.0,A0003,15,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-8.6385989,115.1438355,2259.288483838384,7.0,437265.8751666666
116,397685.0,Deluxe,4.0,4.0,A0003,73,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6552572,115.1296974,2259.288483838384,27.0,426526.3632397181
117,397686.0,Standard Smaller (No Pool),4.0,4.0,A0003,191,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-8.6552572,115.1296974,2259.288483838384,27.0,414215.82482814265
118,397688.0,Downstairs/Upstairs,0.0,4.0,A0003,41,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-8.6488877,115.1361637,2259.288483838384,2.0,465156.23675583344
119,397689.0,Standard,1.0,4.0,A0008,553,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.809038,115.115846,476.861,7.0,980625.6045879652
120,397690.0,Double Balcony,0.0,4.0,A0002,674,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-8.821746,115.089633,402.195,17.0,764002.4496912425
122,397692.0,Uluwatu Kayana Bungalows,4.0,4.0,A0002,489,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-8.837085,115.100357,452.564,5.0,565776.703799284
