room_id,average_baseline_price,number_of_bookings,unit_id,bathroom,bedroom,beds,capacity,unit_type_id,property_id,name,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,property_design,property_type,lat,lng,distance_to_coastline,property_bedrooms
,816746.8221075096,25678,UN1230,2,2,2,4,510,PR0092,Villa Kanha,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,2,-8.800425,115.147582,2033.49,2
378260,375783.27745370363,54,UN0677,1,1,1,2,1162,PR0294,Downstairs Room 2A,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,4,-7.802683,110.360967,14402.1,6
378261,994590.5536805555,12,UN1417,2,3,3,7,610,PR0055,Entire,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,-7.8317661,110.3806358,,3
378266,342269.6909770114,87,UN0680,1,1,1,2,289,PR0294,Upstairs Room 3B,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,4,-7.802683,110.360967,14402.1,6
378267,404418.74715500476,49,UN0679,1,1,1,3,290,PR0294,Upstairs Room 3A,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,4,-7.802683,110.360967,14402.1,6
378267,404418.74715500476,49,UN0679,1,1,1,3,290,PR0294,Upstairs Room 3A,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,4,-7.802683,110.360967,14402.1,6
378268,383891.6361988304,57,UN0678,1,1,1,3,288,PR0294,Downstairs Room 2B,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,4,-7.802683,110.360967,14402.1,6
378269,650873.75,4,UN0679,1,1,1,3,290,PR0294,Upstairs Room 3A,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,4,-7.802683,110.360967,14402.1,6
378269,650873.75,4,UN0679,1,1,1,3,290,PR0294,Upstairs Room 3A,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,4,-7.802683,110.360967,14402.1,6
381223,589353.6925357142,10,UN2115,1,1,1,3,1179,PR0395,Apartment Merapi View,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,4,3,-7.7584523,110.3804561,,5
381226,634754.9031747967,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381228,3042383.260583333,20,UN1999,3,3,3,4,822,PR0370,Entire,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,4,1,-7.7287222,110.3845639,,3
381229,1250221.37,4,UN0680,1,1,1,2,289,PR0294,Upstairs Room 3B,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,4,-7.802683,110.360967,14402.1,6
381230,2544190.359285714,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387364,1058097.7705208333,48,UN2081,2,2,2,8,852,PR0387,Entire,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,4,4,-7.770902,110.4285759,,2
387365,1590246.1502291667,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387366,860710.30171875,16,UN1900,2,3,3,8,795,PR0355,Entire,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,4,4,,,,3
387367,1929433.3251719577,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387368,600176.32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387369,1028744.3245874587,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387370,1749180.9768574617,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387372,959235.6612626262,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387373,1338189.4517655934,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387374,1170465.018736842,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387375,1484337.0355446623,17,UN2703,3,3,3,,1061,PR0616,Entire,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,-7.7373686,110.3730502,,3
387376,874050.1085833332,10,UN1471,2,3,3,6,634,PR0051,Entire,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,,,,3
391675,1166066.2718181817,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391676,340512.095,8,UN2307,1,1,1,2,934,PR0447,Bungalow,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2,4,-8.675,115.5445613,,5
391678,468841.14375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391679,372385.9465384615,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391680,330666.71176396904,346,UN1974,1,1,1,2,816,PR0366,Room,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,4,-8.675762,115.56743,121.038,5
391681,1536302.8633333333,20,UN2659,1,1,1,,1047,PR0630,Room,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,-8.6766739,115.5145451,38.5799,6
391682,1426602.1054022987,348,UN2642,1,1,1,,1045,PR0603,Single Room,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,-8.67949,115.513534,368.577,4
391683,554668.6954211076,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391684,473465.9404061458,269,UN2741,1,1,1,,1112,PR0554,Ocean View,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,-8.684567,115.495276,903.944,13
391698,452276.67298484844,22,UN2051,0,2,0,,1188,PR0383,Family,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,-8.688048,115.579662,45.9017,3
391880,1384810.1794871795,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392608,2171940.422142857,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393185,240011.78583333324,4,UN2521,0,1,0,,991,PR0515,Type 2,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,-8.6797114,115.4885464,,5
393186,398570.20197254897,170,UN2052,1,2,2,4,1189,PR0383,Studio,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,3,4,-8.688048,115.579662,45.9017,3
393187,630112.2369255663,103,UN2306,1,1,1,2,934,PR0447,Bungalow,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,2,4,-8.675,115.5445613,,5
393188,1441124.34546875,80,UN1977,1,1,1,2,816,PR0366,Room,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,4,-8.675762,115.56743,121.038,5
393189,719106.4999829683,137,UN2663,1,2,2,,1048,PR0630,Family,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,-8.6766739,115.5145451,38.5799,6
393191,497678.2092071478,472,UN2660,1,1,1,,1047,PR0630,Room,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,-8.6766739,115.5145451,38.5799,6
393192,1747083.3602857143,70,UN2736,1,1,1,,1017,PR0554,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,-8.684567,115.495276,903.944,13
393193,253792.62615333326,200,UN2126,1,1,1,2,868,PR0398,Room,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,4,-8.688812,115.488442,596.384,4
393194,710701.6101267454,266,UN2257,1,1,1,2,917,PR0427,Bungalow (Allocation),1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,3,4,-8.67666,115.514889,26.7774,4
393195,308858.7075816993,51,UN2219,1,1,1,2,906,PR0419,Room,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,4,-8.6768119,115.566473,,5
393196,433400.2814935626,237,UN2135,1,1,1,2,872,PR0400,Bungalow,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,3,4,-8.6965183,115.5792547,,3
393197,1422741.4445897436,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393198,349953.8420548654,161,UN2194,1,1,1,2,778,PR0345,Bungalow Double,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,4,-8.6788807,115.4900163,,8
393201,316348.69917624514,87,UN2195,1,1,1,2,1164,PR0345,Bungalow Twin,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,4,-8.6788807,115.4900163,,8
393202,890172.625,8,UN2193,1,1,1,2,778,PR0345,Bungalow Double,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,4,-8.6788807,115.4900163,,8
393203,294266.7578494623,93,UN1864,1,1,1,2,1165,PR0345,Standard Double,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,4,-8.6788807,115.4900163,,8
393204,320368.30176255706,73,UN1865,1,1,1,2,1166,PR0345,Standard Twin,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,4,-8.6788807,115.4900163,,8
393205,526531.4810126582,79,UN2192,1,1,1,2,778,PR0345,Bungalow Double,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,4,-8.6788807,115.4900163,,8
393206,843433.9060087719,57,UN2192,1,1,1,2,778,PR0345,Bungalow Double,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,4,-8.6788807,115.4900163,,8
393207,308945.0738347457,236,UN2001,1,1,1,2,1177,PR0371,Standard Double,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,4,-8.709399,115.586846,65.8603,4
393208,1316866.7343402777,192,UN2000,1,1,1,2,1175,PR0371,Standard Twin,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,4,-8.709399,115.586846,65.8603,4
393209,337537.7606418219,207,UN2003,1,1,1,2,1176,PR0371,Superior Double,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,4,-8.709399,115.586846,65.8603,4
393264,289232.952222222,3,UN2000,1,1,1,2,1175,PR0371,Standard Twin,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,4,-8.709399,115.586846,65.8603,4
393265,290058.5,1,UN2002,1,1,1,2,823,PR0371,Superior Twin,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,4,-8.709399,115.586846,65.8603,4
394908,762403.5755068928,338,UN1537,3,1,1,2,119,PR0120,Standard,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,4,-8.805646,115.113378,15.6035,7
394910,511062.6212006079,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394911,635734.1503195587,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394912,1173431.9705284552,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394913,1274882.4974591585,278,UN0370,1,1,1,2,1214,PR0282,Downstairs Non Hot Water,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,4,-8.8063269,115.11306,48.2584,13
394914,1325330.5681550424,315,UN0375,1,1,1,2,206,PR0282,Upstairs Hot Water,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,4,-8.8063269,115.11306,48.2584,13
394915,1611156.9466666665,10,UN0366,1,1,1,2,205,PR0282,Downstairs Hot Water,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,4,-8.8063269,115.11306,48.2584,13
394916,826971.0884292931,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395240,2375476.455833333,24,UN2659,1,1,1,,1047,PR0630,Room,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,-8.6766739,115.5145451,38.5799,6
395715,713838.1671070595,286,UN2124,1,1,1,2,868,PR0398,Room,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,4,-8.688812,115.488442,596.384,4
395971,1082806.3164583333,32,UN1539,1,1,1,2,120,PR0120,Bingin Ombak Apartment - 1 Lantai 1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,4,-8.805646,115.113378,15.6035,7
395983,892576.5943142634,304,UN2549,1,1,1,,1002,PR0518,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,-8.811985,115.116903,799.267,5
395987,310025.22,2,UN0750,0,1,0,,1209,PR0245,Standard Double,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,-8.822391,115.0871096,,22
395989,449585.0246904928,259,UN1169,1,1,1,3,470,PR0112,Villa Arindra,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,4,-8.797821,115.149441,1935.58,4
395990,1511993.339735799,147,UN2262,3,2,2,4,919,PR0432,Entire,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,4,2,-8.837896,115.151689,1033.16,2
395992,993361.6022406593,260,UN2456,,1,,,975,PR0502,Room,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,2,-8.805481,115.11358,12.9244,1
396232,1146922.106666666,2,UN2448,1,1,1,2,315,PR0245,Deluxe Double,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,4,-8.822391,115.0871096,,22
396422,1181365.070393462,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396423,1790276.2234033612,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396428,2900595.246666666,6,UN1722,1,1,1,2,730,PR0314,Standard,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,4,-8.835812,115.118645,1133.15,6
396429,2850584.136666666,1,UN0256,3,3,3,6,160,PR0276,De Kutuh Villa 3BR Villa,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,2,,,,16
396431,2047675.264663309,56,UN2196,5,5,5,0,892,PR0412,Entire,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,4,2,-8.824442,115.163821,2653.12,5
396432,1335800.609523033,92,UN2355,5,3,3,6,1285,PR0417,3BR Villa 3A,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,4,2,-8.807392,115.157375,2755.41,3
396433,427414.74546582,75,UN0733,1,1,2,2,311,PR0245,Standard Twin,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,4,-8.822391,115.0871096,,22
396434,1001301.7605555553,3,UN2755,2,2,3,,1,PR0691,Sleep Well Balangan Villa,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,-8.8090417,115.1135733,,2
396435,1158148.700392904,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396437,1064181.814830827,76,UN2732,3,3,3,,1072,PR0678,Villa Arcturus,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,-8.822613,115.184636,2342.5,3
396440,1693762.5096587301,186,UN1897,5,5,5,0,793,PR0354,5BR Villa,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,4,2,-8.803833,115.1450882,2201.29,10
396441,3503368.5893939394,44,UN1897,5,5,5,0,793,PR0354,5BR Villa,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,4,2,-8.803833,115.1450882,2201.29,10
396442,1725334.964849721,58,UN2444,5,3,3,6,973,PR0500,Blu Apsara,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,4,2,-8.830237,115.167079,2041.98,3
396443,1102986.2021145085,48,UN1223,2,2,3,,505,PR0093,Villa Istana Willy,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,-8.825629,115.153055,2398.34,4
396445,2932103.255860334,97,UN2266,5,4,4,9,923,PR0435,Entire House 4BR,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,4,2,-8.810648,115.156482,3125.52,4
396446,1249076.459698978,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396658,1283523.0629001975,46,UN1540,1,1,1,2,121,PR0120,Bingin Ombak Apartment - 2 Lantai 2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,4,-8.805646,115.113378,15.6035,7
397165,1937579.0989285712,20,UN0366,1,1,1,2,205,PR0282,Downstairs Hot Water,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,4,-8.8063269,115.11306,48.2584,13
397665,414552.95630097436,294,UN2603,1,1,1,,1027,PR0575,Double,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,-8.651059,115.131027,770.099,9
