property_id,property_name,property_type,property_design,distance_to_coastline,area_squad,area_distance_to_airport,airport_pickup_price_idr,area_airport_name,region_id
PR0017,Double D Guest House,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0070,Kubu Pande Homestay,4.0,2.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0126,Comeback Guesthouse,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0140,Lebak Guesthouse,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0160,Kakol Guesthouse,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0241,ME Villa Batu Mejan,2.0,0.0,761.362,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0288,Lebak Residence,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0328,Butterfly Bali Guest House,4.0,4.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0404,Kamisama Homestay,4.0,4.0,406.362,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0424,Kubu Mesari,2.0,4.0,2553.42,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0426,Dicky Guesthouse,4.0,1.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0429,Dicky Guesthouse 2,4.0,1.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0465,Komala Homestay,4.0,1.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0467,Double A Guest,4.0,1.0,1055.57,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0006,Villa Lulu,1.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0029,Bali Shanti,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0034,Pondok Joglo Odit,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0052,Raka & Rai Guesthouse,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0056,Toras Guesthouse,4.0,4.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0074,Villa Rizki,2.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0080,Vila Lila Loka,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0083,Villa Karang,2.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0084,VOC,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0086,Wiras Village,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0094,Villa Savasana,2.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0095,Villa Sunia,2.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0099,Villa Mundaka,2.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0107,Villa Loluan,2.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0109,The Kayuri Canggu,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0110,Agung Homestay,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0114,Bagong Guesthouse,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0123,Villa Bija,2.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0124,Villa Casa Putih,2.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0131,Full Moon Guesthouse,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0157,Surfloge Guesthouse,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0161,The Paving,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0186,Jubilee GuestHouse,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0198,Pondok Lulik,4.0,4.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0200,Rama Village,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0209,The Hideaway,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0210,808 Residence,5.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0212,Villa Amelle,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0213,Tirtha Canggu Suites,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0214,Asri Guest House,4.0,2.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0217,Villa 9 Nelayan,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0227,Villa Driftwood,2.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0230,Dhuna Homestay,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0231,Emerald Villas,2.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0232,Gangga Guesthouse,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0236,Kusuma Guest House,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0239,Lemon Guesthouse,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0249,Sanata Yoga Guesthouse,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0255,Redsalt,5.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0277,Elements Social House,4.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0285,Villa Tropicana,2.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0292,My Villa,2.0,0.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0313,Villa Jonson,2.0,2.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0315,Canggu Beach Apartment,4.0,4.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0331,Villa Vosa,2.0,4.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0332,Pondok DD,4.0,4.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0339,Pondok Kita,4.0,1.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0346,Pudi Homestay,4.0,1.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0362,Koi Guesthouse,4.0,1.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0367,The Uma Guesthouse,4.0,4.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0414,Griya Guest House,4.0,1.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0421,Edo Homestay,4.0,1.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0423,Pondok Chesia,4.0,1.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0442,Pondok Bagus Guesthouse,4.0,1.0,1093.22,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0464,Pondok Juli,4.0,3.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0474,Raka Rai Villa,2.0,4.0,1173.9868000000001,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0045,Melin Inn,3.0,0.0,1173.9868000000001,2.0,45.0,195000.0,Ngurah Rai (DPS),1.0
PR0143,Rock-a-Villa,2.0,0.0,1173.9868000000001,2.0,45.0,195000.0,Ngurah Rai (DPS),1.0
PR0182,Villa Khaleesi,2.0,0.0,1173.9868000000001,2.0,45.0,195000.0,Ngurah Rai (DPS),1.0
PR0219,Villa AKL,2.0,0.0,1173.9868000000001,2.0,45.0,195000.0,Ngurah Rai (DPS),1.0
PR0237,Villa Tykhe,2.0,0.0,1173.9868000000001,2.0,45.0,195000.0,Ngurah Rai (DPS),1.0
PR0388,Villa Aura,1.0,4.0,1173.9868000000001,2.0,45.0,195000.0,Ngurah Rai (DPS),1.0
PR0450,Villa SK9,2.0,5.0,1173.9868000000001,2.0,45.0,195000.0,Ngurah Rai (DPS),1.0
PR0051,Omah JeTeHa,1.0,0.0,1173.9868000000001,0.0,60.0,362089.0,Adi Sucipto (JOG),2.0
PR0055,Griya Wirosaban,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0065,Pendopo 26,2.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0281,Hyarta Residence,2.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0293,Ndalem Panembahan,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0316,Dalem Pinarak,1.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0326,Bedjo Homestay,4.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0327,Dasinem Family Homestay,4.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0353,Omah Kuning,1.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0361,Antasena Bed & Breakfast,4.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0005,Omah Cening,1.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0011,Griya Langen,5.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0013,Homestay Tembi,5.0,3.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0015,Wisma Eyang Sosro,5.0,5.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0018,Lorong Homestay,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0019,Griya Tiyasan,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0020,Wabisabi,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0023,Joglo Agung,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0028,D'Java Omah Sambilegi,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0032,Griya Bausasran 52,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0038,Summergrass,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0041,Posnya Seni Godod,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0050,Villa Casa Mia,2.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0058,Tegal Panggung,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0059,Griya Asih,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0060,Griya Siwi,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0061,Rumah Kami,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0064,Jogja Dreams,2.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0068,Bali Omah,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0069,Roemah Canting,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0071,Watusaman Homestay,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0085,D'Java Timuran,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0128,D'Java Gemilang,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0144,Ndalem Ngabean,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0148,Puri Minggiran,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0149,Riverside Cottages,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0150,Rumah Lavia,2.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0163,Tirto Raharjo,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0178,D'Java Babarsari,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0199,Puri Langenarjan,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0201,Rumah Eyang,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0208,Tembi Rumah Budaya,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0222,Blue Garden,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0233,Gondang Legi Villas,5.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0243,Omah Lila,2.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0248,Rumah Teteh Plemburan,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0256,The Khama Villas,2.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0273,D'Java Lempuyangan,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0295,Pendopo Andari,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0298,Roemah Boedi,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0299,Rumah Sarengat,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0301,Sawah Joglo,5.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0305,Tamu Ibu,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0317,Joglo Mandapa,5.0,3.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0325,Griya Cemara,4.0,3.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0329,Happy Ayu Homestay,1.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0341,Joglo Rejodani,2.0,3.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0342,GriyaKoe,4.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0343,Ndalem Tilem,1.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0348,House of Madame Lily,1.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0356,Sunrise Homestay,1.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0368,Rumah Teteh Kledokan,1.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0369,Nayottama Homestay,4.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0372,Omah Candi,1.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0377,Chez Laelik Guesthouse,4.0,3.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0379,Omah Glagah,4.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0381,Wabisabi Hut,4.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0384,Omah Ucok,2.0,3.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0394,InnEP Homestay,4.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0395,Uttara by Stay Habitat,3.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0406,Rumpang QQ''s Green,4.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0425,Pavilion Guest House,4.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0640,Pondok Ijo ,4.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0120,Bingin Ombak,4.0,0.0,15.6035,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0170,Bingin Surf Left,4.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0234,Jepun Sari,4.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0282,Kembang Kuning,4.0,0.0,48.2584,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0433,Mudjimba Green Bungalows,2.0,1.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0008,Sinar Sari Bingin,4.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0009,Shankara Guesthouse,4.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0024,Villa Shiva,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0057,Teges Asri,4.0,1.0,476.861,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0082,Villa Purnama,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0088,Villa Tortoise,2.0,0.0,21.9135,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
